,GroupeEtMention,Titre,Date,Nom du contact,orga du contact,Url,Children,Parent,Fcats,BroAndSisters
0, Zone atelier bassin du Rhône,"Hydrological Basins in Africa (Sample record, please remove!)",2007-11-06T12:13:00,['Jippe Hoogeveen'],['FAO - NRCW'],"['http://www.fao.org/ag/AGL/aglw/aquastat/watresafrica/index.stm', 'https://cat.indores.fr/geonetwork/srv/api/records/da165110-88fd-11da-a88f-000d939bc5d8/attachments/basins.zip', 'http://data.fao.org/maps/wms']",[],[],[],[]
1, Zone atelier bassin du Rhône,Recensement des zones humides du département de l'Ardèche,2012-08-02T11:54:56,[],['Fédération Départementale de Pêche (07)'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
2, Zone atelier Armorique,"Réseau de haies (Pleine-Fougères, 2000) - Zone Atelier Armorique ZAAr",2018-06-28T11:24:47,['nabucet jean'],['LETG-Rennes Costel'],['http://preprod.osuris.org/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875 ', 'https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=5742154d-98ca-46f0-9ba3-8829282de728']",[]
3, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, 2005) - Zone Atelier Armorique ZAAr",2018-06-13T16:44:18,['nabucet jean'],['LETG-Rennes Costel'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875']",[]
4, Zone atelier Brest Iroise,Topographie de la flèche littorale de Mengleuz en avril 2005,2024-01-10T12:01:26Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/Erreurs_mesures_Mengleuz.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/MNT_MENGLEUZ_2005_04_L2E.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/SEMIS_MENGLEUZ_2005_04_L2E.txt']",[],[],[],[]
5, Zone atelier Armorique,"Mini réseau de haie double (Pleine-Fougères, secteur B, 2013) -Zone Atelier Armorique ZAAr",2018-06-13T16:58:54,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Suivi_bordure_Mini_Reseau_B_Haie_dbl_ZAA&styles=&bbox=362880.330706237936832571.145143139363996.61397318556833785.717407479&width=470&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
6, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en janvier 2006,2019-02-11T12:42:35Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/MNT_TROAON_2006_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[]
7, Zone Atelier Seine,,2020-02-04T12:28:03,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
8, Zone atelier arc jurassien,"Pollen analysis - Labergement-Sainte-Marie (F-25), Between the two lakes. M. Magny/V. Bichet Transects",2017-03-14,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
9, Zone atelier arc jurassien,"Pollen analysis - Pont-du-Navoy (F-39), lower river terrace of the Ain river",2017-03-10,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
10, Zone atelier arc jurassien,Permanent grasslands of the French Jura Mountains (synchronic study BioGEcoP),2017-10-01,"['Gillet, François', 'Mauchamp, Leslie', 'Mouly, Arnaud']",['Laboratoire Chrono-environnement (UMR 6249)'],['http://www.theses.fr/2014BESA2036'],[],[],[],[]
11, Zone atelier Armorique,"Image DSM drone (La Timbertière,2020-05-07) - Zone Atelier Armorique ZAAr",2022-09-01T16:37:20,['Thomas Houet'],['LETG UMR 6554 CNRS'],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_dsm&format=image/geotiff']",[],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_05_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique2&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique1&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_07_07_thermique&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_thermique&format=image/geotiff']",[],['https://doi.org/10.35110/57833b75-9ed7-4e03-8673-4c48ea7d2159']
12, Zone atelier bassin du Rhône,Redevance sur la dérivation des cours d'eau,2012-08-02T12:06:30,"[""Agence de L'Eau""]","[""Agence de l'Eau""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
13, Zone atelier Pyrénées Garonne,"Relevés de l'activité-densité et des flux de carabes aux interfaces entre parcelles cultivées et leurs bordures, au sud de l'Ille et Vilaine",2017-10-26T15:18:44Z,['Stéphanie AVIRON'],['INRA'],['http://'],[],[],[],[]
14, Zone atelier Armorique,"Relevés de papillons en parcelles agricoles FARMLAND (Ille et Vilaine, 2013-2014) - Zone Atelier Armorique ZAAr",2021-03-19T11:06:59,"['Georges Romain', 'Bertrand Colette', 'Françoise Burel', 'Françoise Le Moal']",['ECOBIO UMR 6553 CNRS Université de Rennes 1BAGAP UMR 0980 INRAE Agrocampus Ouest ESAECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1Zone Atelier Armorique (ZAAr)'],"['https://www.osuris.fr/geoserver/ecobio/wms', 'https://doi.org/10.1073/pnas.1906419116']",[],[],[],[]
15, Zone atelier Brest Iroise,Routes du Pays de Brest 1952,2016-06-21T09:08:14Z,['Thibault Goriaud'],['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/653195e4-7829-44ea-b115-9e6541afefdb/attachments/Route_1952.zip', 'https://portail.indigeo.fr/geoserver/wms', 'https://portail.indigeo.fr/geoserver/wfs']",[],[],[],[]
16, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en décembre 2004,2019-02-07T16:13:46Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/MNT_TROAON_2005_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[]
17, Zone atelier bassin du Rhône,Mappes sardes du Haut-Rhône (1728-1738),2023-12-15T10:02:28.522Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://ohm-vr.org/'],[],[],[],[]
18, Zone atelier Brest Iroise,"Trait de côte - Sillon du Loc'h, Landévennec (Finistère) 1948-2006",2021-05-11T14:43:47Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://www.univ-brest.fr/digitalAssets/40/40004_Stephan_et-al_BSGMS_2005.pdf', 'https://geomorphologie.revues.org/9416#tocto1n2', 'https://geomorphologie.revues.org/10246', 'https://www.univ-brest.fr/digitalAssets/40/40131_Stephan_et-al_Rapport_FRAC-GPN_2012.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[]
