,Identifiant,Noms des fichiers,Tailles des fichiers
0,SNO-HPLUS-BLAZEVIC-ET-AL,[],[]
1,68829174-764f-42aa-8843-6f0537e0363a,[],[]
2,8af08c49-59b6-48b4-91a1-0b8376f1befc,['hospitalvessel_time.png'],[14899]
3,da165110-88fd-11da-a88f-000d939bc5d8,"['thumbnail.gif', 'thumbnail_s.gif']","[109796, 5334]"
4,54f44a3e-4ca1-4c23-a3aa-a9d0d380e0a8,[],[]
5,369ab9ac-ed7f-4e78-8162-67aaa1a0de74,[],[]
6,498b8e6a-262e-4573-afec-5cb94be5a682,['bernadouze.png'],[1486505]
7,728d71e2-3ed4-419c-bb81-f5c5e883e94a,"['haie2000.png', 'haie2000_s.png']","[620766, 80000]"
8,e7819b29-44fe-433a-a772-c3c477c84a67,[],[]
9,a5f2a68f-bf63-469c-839b-1e1edf1f8624,[],[]
10,192f31f3-75b7-4645-a273-5a4e0864b3d0,[],[]
11,a72b5f63-0c68-4764-ba7b-c2697ff8436d,[],[]
12,1ac89768-740d-4fd5-8714-a943b2d0add0,['MOD_RGB_thumbnail.png'],[720431]
13,8dd5e077-b009-4d81-8d6d-41306e9fbd79,['2010_13_70056_s.jpg'],[28917]
14,2760412b-bed8-4238-9194-3b8bbab54416,['2021-04-13_Landemarais_MS.jpeg'],[192101]
15,9db49b63-1448-442e-bb86-76005213cff2,['generalcargoship_q1_length.png'],[933867]
16,ba0f0275-5e6d-4a52-a1d9-07621b3376c7,"['emprise_ZA.png', 'emprise_ZA_s.png']","[1065306, 84801]"
17,052bb809-941c-4441-b43d-116866c1c604,[],[]
18,507ff1dc-c8cb-4040-8fa2-db03427841dc,['b92.png'],[72034]
19,4a00ab72-92f9-41bf-9c35-e189a46b7994,['cablelayer_length.png'],[19057]
20,7b88421a-9462-420f-9925-e41d9a6645ef,['GrandDellec.png'],[1064394]
21,c505b027-179e-40f3-aeaa-ed649c9ac5e6,['corn_bas.zip'],[3383019]
22,3de55714-602a-45cc-81b2-972f34f6f24c,[],[]
23,161b94bc-3536-4ddb-b0f3-c57c35dfea95,['Child4.jpg'],[632487]
24,2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474,['MNT_MENGLEUZ_2005_04_L2E.tif'],[4778453]
