,Store,Entrepot,Ids,Titre et auteurs,Uri,Type,Type de document,Date de production
0,HAL, Zone atelier environnementale urbaine,4733461,"Charpentier Isabelle, Nadège Blond, Sandrine Glatron. Reflection on our practice of heterogeneous data management at the era or arttificial intelligency: ZAEU as a case study Inter et transdisciplinaire. AICC2: Sciencesconf.org: Second International AICC Conference on ""Action versus Innaction facing Climate Change"", Jun 2024, Strasnourg, France. ⟨hal-04733461⟩",https://hal.science/hal-04733461v1,file,COMM,2024
1,HAL, Zone atelier environnementale urbaine,4733451,"Jens Abildtrup, Isabelle Charpentier, Christian Chauvin, Sylvie Dousset, Cécile Fries- Paiola, et al.. Mental’eau : appréhender les écosystèmes aquatiques dans la perspective
one health, une approche transdisciplinaire. 6ème Colloque du Réseau des Zones Ateliers, Réseau des Zones Ateliers, Sep 2024, Sainte Ménehould, France. ⟨hal-04733451⟩",https://hal.science/hal-04733451v1,annex,COMM,2024
2,HAL, Zone atelier Pyrénées Garonne,4728255,"Sandrine Petit, Audrey Alignier, Roland Allart, Stéphanie Aviron, Hugues Boussard, et al.. Vers l'émergence de stratégies territoriales pour renforcer les régulations biologiques : une approche transdisciplinaire. Innovations Agronomiques, 2024, 96, pp.88-99. ⟨10.17180/ciag-2024-vol96-art07⟩. ⟨hal-04728255⟩",https://hal.inrae.fr/hal-04728255v1,file,ART,2024
3,HAL, Zone atelier Armorique,4728255,"Sandrine Petit, Audrey Alignier, Roland Allart, Stéphanie Aviron, Hugues Boussard, et al.. Vers l'émergence de stratégies territoriales pour renforcer les régulations biologiques : une approche transdisciplinaire. Innovations Agronomiques, 2024, 96, pp.88-99. ⟨10.17180/ciag-2024-vol96-art07⟩. ⟨hal-04728255⟩",https://hal.inrae.fr/hal-04728255v1,file,ART,2024
4,HAL, Zone atelier Hwange,4728010,"E. Kennedy Overton, A. Bernard, P.C. Renaud, G. Hall, C. Guerbois, et al.. Land use influences the diet of chacma baboons (Papio ursinus) in South Africa. Global Ecology and Conservation, 2024, 54, pp.e03100. ⟨10.1016/j.gecco.2024.e03100⟩. ⟨hal-04728010⟩",https://hal.science/hal-04728010v1,notice,ART,2024
5,HAL, Zone atelier Plaine et Val de Sèvre,4727682,"Elsa T. Berthet. Une recherche-action pour augmenter les capacités des consommateurs à transformer leur système alimentaire. -Territorialisation des systèmes alimentaires, Conférence invitée au Webinaire du GOS 3 -Territorialisation des systèmes alimentaires, Département ACT INRAE, Nov 2023, Paris, France. ⟨hal-04727682⟩",https://hal.science/hal-04727682v1,notice,COMM,2023
6,HAL, Zone atelier Plaine et Val de Sèvre,4727672,"Elsa T. Berthet. Et si nous abordions la transition alimentaire et écologique de façon créative ?,. Conférence invitée aux Soirées scientifiques de Melle, Conférence invitée aux Soirées scientifiques de Melle, May 2024, Melle, France. ⟨hal-04727672⟩",https://hal.science/hal-04727672v1,notice,COMM,2024
7,HAL, Zone atelier Plaine et Val de Sèvre,4727659,"Anaëlle Camarda, Barbara Ozkalp-Poincloux, Elsa T. Berthet, Emilie Salvia, M. Cassotti. Caracterizing the development of fixation effect to better avoid food wasting. SFNC (Society for the Neuroscience of Creativity) annual meeting, sfnc, Apr 2024, Toronto, Canada. ⟨hal-04727659⟩",https://hal.science/hal-04727659v1,notice,COMM,2024
8,HAL, Zone atelier Plaine et Val de Sèvre,4727626,"Elsa T. Berthet. De la confrontation à la recherche de valeurs communes dans les cas de controverse environnementale. ‘Icubiades’ 2024 de la Transition écologique, mines paris - PSL, May 2024, Paris, France. ⟨hal-04727626⟩",https://hal.science/hal-04727626v1,notice,COMM,2024
9,HAL, Zone atelier Plaine et Val de Sèvre,4727608,"Elsa T. Berthet. Pour des socio-écosystèmes alimentaires résilients : une recherche transformative au sein de la Zone Atelier Plaine & Val de Sèvre. Journées du DIPEE, May 2024, Bordeaux, France. ⟨hal-04727608⟩",https://hal.science/hal-04727608v1,notice,COMM,2024
10,HAL, Zone atelier Plaine et Val de Sèvre,4727584,"Elsa T. Berthet, Cyrille Bombard. Analyse réflexive d’une coopération entre chercheurs et médiateurs pour une recherche transdisciplinaire plus démocratique. 6e colloque du Réseau des Zones Ateliers CNRS, Sep 2024, sainte-menehould, France. ⟨hal-04727584⟩",https://hal.science/hal-04727584v1,notice,COMM,2024
11,HAL, Zone atelier Plaine et Val de Sèvre,4727570,"Victor Lasquellec, Elsa T. Berthet, Anaëlle Camarda, Emilie Salvia, Barbara Ozkalp-Poincloux, et al.. Étudier les freins et leviers de la créativité chez les jeunes consommateurs pour soutenir la transformation des systèmes alimentaires. riodd 2024, Sep 2024, Bruxelle, Belgium. ⟨hal-04727570⟩",https://hal.science/hal-04727570v1,notice,COMM,2024
12,HAL, Zone atelier Plaine et Val de Sèvre,4727532,"Elsa T. Berthet, Victor Lasquellec, Anaëlle Camarda, Cyrille Bombard, Mathieu Goinard, et al.. Conception et expérimentation d’ateliers pour augmenter les capacités des jeunes consommateurs à transformer leur système alimentaire. riodd 2024, Sep 2024, Bruxelle, Belgique. ⟨hal-04727532⟩",https://hal.science/hal-04727532v1,notice,COMM,2024
13,HAL, Zone atelier Loire,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
14,HAL, Zone Atelier Seine,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
15,HAL, Zone atelier environnementale urbaine,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
16,HAL, Zone atelier Armorique,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
17,HAL,Zone atelier territoires uranifères,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
18,HAL, Zone atelier Pyrénées Garonne,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
19,HAL, Zone Atelier Santé Environnement Camargue,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
20,HAL, Zone Atelier Antarctique et Terres Australes,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
21,HAL, Zone atelier Brest Iroise,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
22,HAL, Zone atelier Plaine et Val de Sèvre,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
23,HAL, Zone atelier bassin du Rhône,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
24,HAL, Zone atelier bassin de la Moselle,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
