,Store,Entrepot,ID,Titre,Auteur,Résumé,Date de publication,Publication Url
0,Zenodo, Zone Atelier Antarctique et Terres Australes,13845663,Climate change impacts pair-bond dynamics in a long-lived monogamous species,"Sun, Ruijiao","<p>Manuscript title: Climate change impacts pair-bond dynamics in a long-lived monogamous species</p>
<p><br>Author(s):<br>Ruijiao Sun<br>Woods Hole Oceanographic Institution<br>Massachusetts Institute of Technology<br>University of California, Santa Barbara, USA<br>ruijiaos@ucsb.edu<br>ruijiaos@icloud.com</p>
<p>Christophe Barbraud<br>Centre d&rsquo;Etudes Biologiques de Chiz&eacute;,&nbsp;<br>CNRS-La Rochelle University UMR7372,&nbsp;<br>79360 Villiers en Bois, France<br>christophe.barbraud@cebc.cnrs.fr&nbsp;</p>
<p>St&eacute;phanie Jenouvrier<br>Biology Department,&nbsp;<br>Woods Hole Oceanographic Institution,&nbsp;<br>Woods Hole, MA 02543, USA<br>sjenouvrier@whoi.edu</p>
<p>Karine Delord<br>Centre d&rsquo;Etudes Biologiques de Chiz&eacute;,&nbsp;<br>CNRS-La Rochelle University UMR7372,&nbsp;<br>79360 Villiers en Bois, France</p>
<p>Kristen Krumhardt<br>Climate and Global Dynamics,&nbsp;<br>NSF National Center for Atmospheric Research (NCAR),&nbsp;<br>Boulder, Colorado, USA</p>
<p>R&eacute;mi Fay<br>Laboratoire de Biom&acute;etrie et Biologie &Eacute;volutive,&nbsp;<br>UMR 5558, Universit&eacute; Claude Bernard Lyon 1,&nbsp;<br>Villeurbanne, France</p>
<p>Francesco Ventura<br>Biology Department,&nbsp;<br>Woods Hole Oceanographic Institution,&nbsp;<br>Woods Hole, MA 02543, USA<br>sjenouvrier@whoi.edu</p>
<p>Bilgecan Şen<br>Center for Environmental Science,<br>University of Maryland,<br>Cambridge, MD 21613,USA</p>
<p>&nbsp;</p>
<p>Abstract:<br>Climate change can influence populations of monogamous species by affecting pair-bond dynamics. This study examined the impact of climate on widowhood and divorce, and the subsequent effects on individual vital rates and life-history outcomes over 54 years in a snow petrel (Pagodroma nivea) population. We found that environmental conditions can affect pair-bond dynamics both directly and indirectly. Divorce was adaptive, occurring more frequently after breeding failure and leading to improved breeding success. Divorce probabilities also increased under severe climatic conditions, regardless of prior breeding success, supporting the ""Habitat-mediated&rdquo; mechanisms. Generally, pair-bond disruptions reduced subsequent vital rates and lifetime outcomes. Climate forecasts from an Atmosphere-Ocean General Circulation Model projected increased male widowhood rates due to decreased sea ice negatively affecting female survival, despite considerable uncertainty. These findings highlight the importance of environmentally induced changes in demographic and pair-bond disruption rates as crucial factors shaping demographic responses to climate change.&nbsp;</p>
<p>Funding information:&nbsp;<br>This work was supported by the National Science Foundation (OPP 1840058) to SJ and RS. Field data has been collected since 1963 on Ile des P&eacute;trels as part of ORNITHOECO &nbsp;Project 109 ""Seabirds and marine mammals as sentinels of global changes in the Southern Ocean&rdquo;, funded by the French Polar Institute Paul-Emile Victor (IPEV; PI C. Barbraud). Institut Polaire Fran&ccedil;is, Paul-Emile Victor (IPEV), Terres Australes et Antarctiques Fran&ccedil;aises, and Zone Atelier Antarctique et Terres Australes (LTSER France, CNRS-INEE) provided logistical and financial support. This study is part of the long-term Studies in Ecology and Evolution (SEE-Life) program of the CNRS and a contribution to Project SENSEI (Sentinels of the sea ice) funded by Fondation BNP Paribas.</p>
<p>Data location:<br>Ile des P&eacute;trels, Pointe G&eacute;ologie Archipelago (66&deg;40'S, 140&deg;01'E), Terre Ad&eacute;lie, Antarctica</p>
<p>File folder list:<br>Forecast<br>JAGS_models<br>LHO</p>
<p>Software:<br>Bayesian multi-state capture-mark-recapture analyses were conducted using JAGS through R. Life history analyses and pair-bond disruption forecasts were performed using MATLAB. All figures were produced in MATLAB.</p>
<p>Description:<br>These files contain all the data, code, and model outputs needed to reproduce the results and figures in our study.&nbsp;<br>The data comes from a long-term monitoring project of snow petrels breeds at Ile des P&eacute;trels, Pointe G&eacute;ologie Archipelago (66&deg;40'S, 140&deg;01'E), Terre Ad&eacute;lie, Antarctica. Since 1963, an annual long-term monitoring study has been conducted. Adults and chicks were leg-banded with stainless-steel bands, with adult sex determined by vocalization and relative size. Nest surveys during incubation and fledging periods determined breeding success and pair identities.</p>
<p>There are three main subfolders included:&nbsp;<br>(1) JAGS_models: JAGS code and R code to perform our Multi-state capture-mark-recapture models and corresponding model output;&nbsp;<br>(2) LHO: Code for life-history outcome analysis;&nbsp;<br>(3) Forecast: Climate projection data and code for pair-bond disruption forecast.<br>Each subfolder includes a README.txt file that describes its contents.</p>
<p>&nbsp;</p>",2024-09-26,10.5281/zenodo.13845663
1,Zenodo, Zone atelier Alpes,10966598,Vegetation changes with climate change in the Grandes Rousses mountain range,"Michalet, Richard","<p><strong><em>Questions:</em></strong> We assessed interactions between climate change, bedrock types and snow cover duration on the trajectories of taxonomic and functional composition of subalpine plant communities. We predict (i) an increase in species richness on siliceous bedrock due to a reduced competition and a decrease in richness on calcareous bedrock due to increasing drought stress, (ii) decreasing snow cover duration should induce a higher shrub encroachment in hollows as compared to ridges (iii) increasing growing season temperature should induce taller sizes and more conservative growth traits, in particular in hollows.</p>
<p><strong><em>Location: </em></strong>Subalpine belt of the Grandes Rousses mountain range, south western Alps (France).</p>
<p><strong><em>Methods:</em></strong> 189 vegetation plots were sampled in 1997 and 2017-2018. The duration of snow cover was assessed during two years in 1995-1997 and five functional traits were measured on 108 species in 2021. We performed multivariate analyses, quantified community weighted-means (CWM) of traits and used ANOVAs to detect responses to local-scale factors and changes in snow cover, temperature and precipitation since 1997 according to a nearby meteorological station.</p>
<p><strong><em>Results:</em></strong> Overall, taxonomic composition weakly changed and changes were more dependent on the position of communities along the snow cover duration gradient than on their bedrock type. The abundance of drought-tolerant species increased at the border of hollows and there was, over all communities, a slight increase in the abundance of dwarf shrubs and tall herbaceous species, a strong decrease in short herbaceous species and, thus, an overall decrease in species richness. There were important overall changes in CWM of size traits, in particular leaf area which increased the most in hollows irrespective of bedrock types.</p>
<p><strong><em>Conclusion:</em></strong> In this subalpine site the effects of decreasing snow cover duration overwhelmed the effects of bedrocks, which may explain the overall increase in competitive species and decrease in species richness.</p>",2024-04-12,10.5061/dryad.zkh1893hw
2,Zenodo, Zone atelier Alpes,10301084,"supplément à ""Modélisation des régimes thermiques du sol dans les milieux ouverts d'altitude des Alpes françaises : influence du transport de neige par le vent et de la végétation"" : codes et données","Baron, Matthieu","<p>Codes et données pour reproduire les chapitres 2 et 5 de la thèse de Matthieu Baron intitulée ""Modélisation des régimes thermiques du sol dans les milieux ouverts d'altitude des Alpes françaises : influence du transport de neige par le vent et de la végétation"".</p><p>Les jeux de données incluent nottamment:</p><p>&nbsp; &nbsp; - des sorties de simulations de SURFEX</p><p>&nbsp; &nbsp;- des données de températures du sol extraites dans le cadre de différents projets de la Zone Atelier Alpes et retravaillées. Une autre version de ces données (plus actuelle) est publiée ici :</p><p>CHOLER, Philippe; SAGOT, Clotilde; AUGE, Vincent; DENTANT, Cédric; réseau Flore Sentinelle; LIGER, Lucie; MANSONS, Jérôme; NAPOLEONI, Raphaëlle; SAILLARD, Amélie; TILL BOTTRAUD, Irène; FORT, Noémie, 2023, ""Long term monitoring of near surface soil temperature in the french Alps"", <a href=""https://doi.org/10.57745/JOZ1NA"">https://doi.org/10.57745/JOZ1NA</a>, Recherche Data Gouv, V1</p><p>&nbsp;</p><p>Un fichier README.md est présent dans la racine du dossier et donne une desription plus poussée de son contenu &nbsp;</p>",2023-12-08,10.5281/zenodo.10301084
3,Zenodo, Zone atelier Alpes,10229002,La prise en compte de la malacofaune continentale comme indicateur des changements globaux,"COMBRISSON, Damien","<p>La compréhension et la prévision des conséquences des changements environnementaux mondiaux (changement climatique et d'affectation des terres, dépôts atmosphériques, invasions d'espèces exotiques) sur la biodiversité et le fonctionnement des écosystèmes figurent parmi les principaux thèmes de recherche scientifique. Le groupe régional d'experts sur le climat en région Sud Provence-Alpes-Côte d'Azur (GREC-SUD) a rapporté en 2018, une élévation des températures observées actuellement dans les Alpes deux fois plus importante que celle notée en plaine. Le suivi de ces processus est à privilégier dans les espaces protégés. La pérennité des parcs nationaux ainsi que la présence d'agents qualifiés sur le terrain sont autant d'éléments facilitant la mise en œuvre d'études opérationnelles sur ces territoires d'exception. Au travers de deux exemples développés au sein du Parc national des Écrins, nous présentons deux protocoles distincts ayant pour cadre l'étude des changements globaux et intégrant les Mollusques continentaux en tant qu'indicateur de ces évolutions. Le premier de ces dispositifs concerne la mise en place de transects altitudinaux permettant de caractériser les peuplements malacologiques (diversité spécifique et abondance) intégrés au sein de l'observatoire ORCHAMP.&nbsp;Ce dispositif de recherche multi partenarial de la Zone Atelier Alpes (ZAA) a pour objectif de suivre la dynamique des écosystèmes de montagne face aux changements globaux (climat, pollution, changements de pratiques, etc.). Le second dispositif concerne un protocole d'étude portant sur la dynamique biologique des marges glaciaires, initié dans le cadre du programme européen ALCOTRA « CclimatT » dont l'objectif est d'appréhender les organismes et communautés d'organismes qui colonisent des zones récemment libérées des glaces à l'échelle du Quaternaire. Au travers de ces deux exemples, les Mollusques continentaux sont intégrés dans le cadre de recherches pluridisciplinaires privilégiant la compréhension des dynamiques locales à partir d'une approche multi-taxons. Le cadre de ces études ainsi que les méthodes employées sont exposés afin d'illustrer de façon concrète l'utilisation de la malacofaune en tant que marqueur des changements globaux.</p>",2020-12-18,10.5852/naturae2020a16
4,Zenodo, Zone atelier Armorique,7566380,Discrepancies between the drivers of alpha and beta plant diversity in arable field margins,"Boinot, Sébastien","<p><span>Field margins are major habitats for biodiversity conservation and ecosystem functioning in agricultural landscapes, but biotic homogenization of plant communities threatens their ecological and agronomic functions. Our objective is to assess the effects of field margin structure and long-term management of herbaceous layer over 20 years (1995–2015) on the taxonomic and functional α- and β-diversity, and the functional composition of herbaceous plant communities. In 2015, we surveyed 302 field margins in bocage landscapes of Brittany (France). Results were very similar between taxonomic and functional diversity but revealed discrepancies between α- and β-diversity. Deep ditches, mowing, and grazing increased α-diversity but did not affect β-diversity. Denser hedgerows had lower α-diversity than other field margins but contributed to β-diversity by harboring more unique sets of species or life strategies. Long-term herbicide spraying in field margins and cropping intensity in adjacent habitats did not affect α-diversity, but had more complex effects on β-diversity and selected for common weeds. Preservation of dense hedgerows and abandonment of herbicide spraying are key measures to prevent the establishment of common weeds and biotic homogenization in field margins. Above all, our study shows how important it is to go beyond α-diversity to make robust conservation and restoration decisions.</span></p>",2023-01-24,10.5061/dryad.79cnp5hz9
5,Zenodo, Zone atelier Armorique,7199900,"Weed communities are more diverse, but not more abundant, in dense and complex bocage landscapes","Boinot, Sébastien","<p>1. Bocage landscapes are characterized by a network of hedgerows that delimits arable fields. Such landscapes provide many ecosystem services, including biodiversity conservation, but their effects on weed communities remain largely unknown. Bocage landscapes could affect weed communities through two main processes: plant spillover from hedgerows and increased environmental heterogeneity in arable fields. These bocage effects are also likely to vary between farming systems (conventional vs organic), due to differences in management practices.</p>
<p>2. We sampled weed communities more than 20 m from field margins in 74 arable fields (37 per farming system). Fields were located along two independent landscape gradients of total length of hedgerows (with or without a shrub layer) and organic farming cover, in Brittany (France). We analysed the effect of 'bocage' (i.e., the density and complexity of hedgerow networks) and farming systems at field and landscape scales on species and functional diversity of weed communities. Further, we used fidelity to non-crop habitats and Ellenberg indicator values to assess the 'plant spillover' and 'environmental heterogeneity' hypotheses, respectively.</p>
<p>3. Weed communities were more diverse and more abundant in organic farming systems. In addition, weed communities were more diverse, but not more abundant, in denser and more complex bocage landscapes. 'Bocage' increased species diversity of weeds, but also community-weighted variance of specific leaf area, plant height and seed mass. Positive effects of 'bocage' on weed diversity were driven by increased environmental heterogeneity rather than spillover of transient species from hedgerows. 'Bocage' effects were independent of farming systems at field and landscape scales.</p>
<p>4. Synthesis and applications. Maintaining diverse weed communities is key to agroecological weed management and biodiversity conservation in agricultural landscapes. Farmers are often concerned that hedgerows harbour competitive plants spreading into field edges, thereby increasing weed pressure. However, our study shows that dense and complex bocage landscapes promote weed diversity in field cores, most likely by increasing environmental heterogeneity. Thus, bocage landscapes could actually enhance ecosystem services provided by weed communities and reduce weed-crop competition.</p>",2022-10-14,10.5061/dryad.k0p2ngfbv
6,Zenodo, Zone atelier Alpes,6687988,Data from: Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands,"Weil, Sarah-Sophie","<p>This dataset contains data and code that support the results in Weil, S.-S., Martinez-Almoyna, C., Piton, G., Renaud, J., Boulangeat, L., Foulquier, A., ... &amp; Thuiller, W. (2021) Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands (accepted in Journal of Biogeography).</p>

<p>We used an extensive plant-soil dataset that covers 14 elevational gradients (between 1500 and 2800 m of elevation) distributed over the whole French Alps to analyse the spatial co-dependencies between the plant and soil compartments. We ran a Graphical Lasso that extracts the direct and indirect linkages between plant functional composition, soil microbial activities, and environmental conditions (local climate and soil properties).</p>

<p>Our main results are 1) that plant traits are tightly associated with microbial activities, the former being driven by climate and the latter by soil properties; 2) that the dominance of specific plant traits was more important than their diversity to determine plant-soil linkages; and 3) that soil microbes invested strongly in nutrient acquisition in sites with conservative plant traits and reduced organic matter quality.</p>",2022-07-14,10.5061/dryad.cjsxksn63
7,Zenodo, Zone atelier Pyrénées Garonne,6532130,"Supplementary material 2 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283","Claudel, Morgane",The synonymy of the ten species (TAXREF v13 and historical sources),2022-05-09,10.3897/BDJ.10.e76283.suppl2
8,Zenodo, Zone atelier Pyrénées Garonne,6532126,"Supplementary material 1 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283","Claudel, Morgane",Glossary of acronyms,2022-05-09,10.3897/BDJ.10.e76283.suppl1
9,Zenodo, Zone atelier Pyrénées Garonne,6532122,"Supplementary material 3 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283","Claudel, Morgane",List of historical sources consulted from which the dataset was produced,2022-05-09,10.3897/BDJ.10.e76283.suppl3
