,Identifiant,Groupe,IN,Mention,Groupe_et_Mention
0,001dc181-eef7-45a7-b294-f49da5ef3521,zabr,True,Aucune mention,zabr
1,0026a7c2-73d1-4a94-8b02-cf1fc8f87793,Aucun groupe,True,Aucune mention,pas d'infos
2,003b9e75-5d29-42b7-9afe-4e4b6faddc60,zas,True,Aucune mention,zas
3,00671f7f-a22c-447d-be35-f32bac1c3db7,Aucun groupe,True,Aucune mention,pas d'infos
4,006f3f67-c892-4949-b091-c5e07d15db23,zabr,True,Aucune mention,zabr
5,00948f2d-6cef-44e3-8456-3cd0c9cb6fa3,OHM Littoral méditerranéen,True,Aucune mention,OHM Littoral méditerranéen
6,0095949b-bd3b-40f3-98eb-07ec1a57a43d,OHM Bassin Minier de Provence,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
7,00a487ec-b018-4e21-9838-e58f45b01e35,zabr,True,Aucune mention,zabr
8,00d2cb79-ac24-4964-8b44-edd027f3a8f2,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
9,010d7abd-5558-4b92-afa1-37c63b389c6d,OHM Bassin Minier de Provence,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
10,014fc08d-a9e2-4089-9685-4ffcc3607ffd,zabr,True,Aucune mention,zabr
11,0167de1e-b461-4abf-9557-ac42a5f66df8,OHM Bassin Minier de Provence,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
12,01857da5-f8ba-4ead-8cc5-fe602454b710,Aucun groupe,True,Aucune mention,pas d'infos
13,0189ec35-8291-4925-a846-ac569f82322e,Aucun groupe,True,Aucune mention,pas d'infos
14,01af2879-2730-471a-8d44-96c2db109945,OHM Littoral méditerranéen,True,Aucune mention,OHM Littoral méditerranéen
15,01c373dd-75c3-4b9d-a569-4f50f7f9b1b6,Aucun groupe,True,Aucune mention,pas d'infos
16,01cca9fa-0cda-4d52-bdfb-cc709cceae80,zaar,True,ZAAr,zaar
17,01e46ced-6d13-4610-a070-46ac7361e8e5,zaar,True,ZAAr,zaar
18,0214dee0-5e7c-4c37-b0b0-e53e2dfb7444,zaar,True,ZAAr,zaar
19,022587f3-e202-48c7-a1fd-e2967b8f585e,zabr,True,Aucune mention,zabr
20,0225cd26-915c-407e-857d-5fd2b229e569,zas,True,Aucune mention,zas
21,022f2d20-45b8-44ba-bf9a-3c4631c7038b,OHMi Téssékéré,True,Aucune mention,OHMi Téssékéré
