,Store,Entrepot,Titre,Url,Noms des fichiers,Titre parents,Titre children,Titre brothersAndSisters,Titre facts
0,Cat.InDoRES, Zone atelier Alpes,"SOERE OLA, Observatory on Alpine LAkes",['http://www6.inra.fr/soere-olahttps://si-ola.inra.fr/si_lacs/login.jsf'],[],[],[],[],[]
1,Cat.InDoRES, Zone atelier Alpes,ZAA-Extraction de rasters et d indicateurs,['http://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WMShttp://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WFShttp://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WFS&request=GetFeature&version=1.0.0&typeName=ZAAhttp://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WFS&request=GetFeature&version=1.0.0&typeName=ZAA&outputFormat=jsonhttp://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WFS&request=GetFeature&version=1.0.0&typeName=ZAA&outputFormat=SHAPE-ZIPhttp://geo.driihm.fr:8080/geoserver//testworkspace/ows?service=WFS&request=GetFeature&version=1.0.0&typeName=ZAA&outputFormat=CSV'],[],[],[],[],[]
2,Cat.InDoRES, Zone atelier Alpes,Observation de la renouée dans les Alpes du Nord,['Nonehttps://data.irstea.fr/geonetwork/srv/api/records/e64e2bfe-b75c-4a53-834e-727b0b8c3e07/attachments/observatoire_renouee_Irstea.kml'],[],[],[],[],[]
3,Cat.InDoRES, Zone atelier Alpes,ANDROSACE Functional Alpine flora traits database,['https://originalps.osug.fr'],[],[],[],[],[]
4,Cat.InDoRES, Zone atelier Alpes,Classification supervisee 1948 (Reserve naturelle du Vercors),[],[],[],[],[],[]
5,Cat.InDoRES, Zone atelier Alpes,Mosaïque 2009 (Reserve Naturelle des Hauts Plateaux du Vercors),['None'],[],[],[],[],[]
6,Cat.InDoRES, Zone atelier Alpes,Cartographie des territoires de présence du Gypaète barbu en AURA,[],[],[],[],[],"['', '']"
7,Cat.InDoRES, Zone atelier Alpes,,"['https://bdoh.irstea.fr/OBSERVATOIRE-DES-SEDIMENTS-DU-RHONE/https://doi.org/10.17180/obs.osr', 'http://www.graie.org/osr/']",[],[],[],[],[]
8,Cat.InDoRES, Zone atelier Alpes,Enquête Pastorale 2012-2014,['http://enquete-pastorale.irstea.fr'],[],[],['Unités Pastorales et Zones Pastorales 2012-2014:'],[],[]
9,Cat.InDoRES, Zone atelier Alpes,"""Cyber-carothèque nationale"" C2FN : inventaire national des carottages et carottes sedimentaires scientifiques portés par des laboratoires de recherche francais","['http://www.climcor-cyber.fr/cores/', 'None', 'undefined']",[],[],[],[],[]
10,Cat.InDoRES, Zone atelier Alpes,Mosaïque 1948 (Reserve Naturelle des Hauts Plateaux du Vercors),['None'],[],[],[],[],[]
11,Cat.InDoRES, Zone atelier Alpes,MODIS SNOW,"['http://saocompute.eurac.edu/geoserver/MODIS/wms?service=WMS&version=1.1.0&request=GetMap&layers=MODIS:MODIS%20Snow%20Cover&styles=&bbox=3847097.79598552,2208192.27030688,4982445.60783248,2872447.7449727&width=768&height=449&srs=EPSG:3035&format=application/openlayershttp://saots.eurac.edu/']",[],[],[],[],[]
12,Cat.InDoRES, Zone atelier Alpes,Observatoire hydrosédimentaire de montagne Draix-Bleone,"['http://bdoh.irstea.fr/DRAIX', 'https://doi.org/10.17180/obs.draixhttps://oredraixbleone.irstea.fr/']",[],[],[],[],[]
13,Cat.InDoRES, Zone atelier Alpes,Cartographie à HAute résolution des Milieux Ouverts d’altitude - Chartreuse,['http://leca-bdgis.ujf-grenoble.fr:6080/arcgis/rest/services/CHAMOIS/ProjetChamoisChartreuse/MapServer'],[],[],[],[],[]
14,Cat.InDoRES, Zone atelier Alpes,Suivi de population du Fadet des Laîches (Coenonympha oedippus),['http://osug.maps.arcgis.com/home/webmap/viewer.html?webmap=1e9607091e5449c0a1e252cd6cb31908'],[],[],[],[],[]
15,Cat.InDoRES, Zone atelier Alpes,Long term monitoring of near surface soil temperature in the french Alps,['https://entrepot.recherche.data.gouv.fr/dataverse/ZAA_SOIL_TEMP'],[],[],[],[],[]
16,Cat.InDoRES, Zone atelier Alpes,Alpine plants species distribution modeling,[],[],[],[],[],[]
17,Cat.InDoRES, Zone atelier Alpes,Lacs sentinelles - Observatoire des lacs d'altitude,"['www.lacs-sentinelles.org', 'https://si-ola.inra.fr/si_lacs/login.jsfhttp://leca-bdgis.u-ga.fr:8080/geonetwork/srv/api/records/50ce1228-75f6-40da-891f-5c8c28eac897/attachments/LS_shapefile_v190617.zip']",[],[],[],[],[]
18,Cat.InDoRES, Zone atelier Alpes,Classification supervisee 1978 (Reserve naturelle du Vercors),[],[],[],[],[],[]
19,Cat.InDoRES, Zone atelier Alpes,Localisation des phénomènes d'avalanche de Rhône-Alpes,[],[],[],"['CLPA :les ouvrages zonaux de Rhône-Alpes', 'CLPA :les ouvrages linéaires de Rhône-Alpes', 'CLPA :les ouvrages ponctuels de Rhône-Alpes']",[],[]
20,Cat.InDoRES, Zone atelier Alpes,Roche Noire Environmental Database,['None'],[],[],[],[],[]
21,Cat.InDoRES, Zone atelier Alpes,Unités Pastorales et Zones Pastorales 2012-2014:,['http://enquete-pastorale.irstea.frhttps://data.irstea.fr/geonetwork/srv/api/records/f4204146-a378-442b-b7c9-79cd2ca090f0/attachments/structure_shp_zp.pdfhttps://data.irstea.fr/geonetwork/srv/api/records/f4204146-a378-442b-b7c9-79cd2ca090f0/attachments/structure_shp_up.pdf'],[],['Enquête Pastorale 2012-2014'],[],[],[]
22,Cat.InDoRES, Zone atelier Alpes,Classification supervisee 2009 (Reserve naturelle du Vercors),[],[],[],[],[],[]
23,Cat.InDoRES, Zone atelier Alpes,Alpages Sentinelles - Observatoire,['https://www.alpages-sentinelles.fr'],[],[],[],[],[]
24,Cat.InDoRES, Zone atelier Alpes,Cartographie à HAute résolution des Milieux Ouverts d’altitude - Vercors,['http://leca-bdgis.ujf-grenoble.fr:6080/arcgis/rest/services/CHAMOIS/ClassificationChamoisVercors/MapServer'],[],[],[],[],[]
