,Store,Entrepot,Titre
0,Data.InDoRES, Zone atelier Alpes,Collection of rasters and social ecological indicators for Zone Atelier Alpes
1,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature in the french Alps
2,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature in the Ecrins National Park
3,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature associated to the individual-based demographic survey of Eryngium alpinum L.
4,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature on sereval species and habitats in the French Alps
5,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature in the Mercantour National Park
6,OSUG, Zone atelier Alpes,Long-term monitoring of near-surface soil temperature on the four high summits of Mercantour included in the GLORIA project
7,OSUG, Zone atelier Alpes,Long-term monitoring of near-surface soil temperature in high-elevation alpine grasslands
8,OSUG, Zone atelier Alpes,Long-term monitoring of near-surface soil temperature in mountain ecosystems of the LTSER Lautaret-Oisans
9,OSUG, Zone atelier Alpes,Long term monitoring of near surface soil temperature in the french Alps part of ORCHAMP observatory
10,Dryad, Zone atelier Alpes,Vegetation changes with climate change in the Grandes Rousses mountain range
11,Dryad, Zone atelier Alpes,Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands
12,Zenodo, Zone atelier Alpes,"Fig. 8 in Moulladella Jourdanensis (Foury & Moullade, 1966) N. Gen., N. Comb.: Valanginian-Early Late Barremian Larger Benthic Foraminifera From The Northern Neotethyan Margin"
13,Zenodo, Zone atelier Alpes,Vegetation changes with climate change in the Grandes Rousses mountain range
14,Zenodo, Zone atelier Alpes,Oilseed rape plant phytometers in an agricultural landscape in France - LTSER Zone Atelier Plaine & Val de Sèvre
15,Zenodo, Zone atelier Alpes,[Dataset] Plant–pollinator in a highly intensive agricultural landscape LTSER Zone Atelier Plaine & Val de Sèvre
16,Zenodo, Zone atelier Alpes,"supplément à ""Modélisation des régimes thermiques du sol dans les milieux ouverts d'altitude des Alpes françaises : influence du transport de neige par le vent et de la végétation"" : codes et données"
17,Zenodo, Zone atelier Alpes,La prise en compte de la malacofaune continentale comme indicateur des changements globaux
18,Zenodo, Zone atelier Alpes,Fiche pratique DMP : je me lance dans la rédaction d'un plan de gestion de données
19,Zenodo, Zone atelier Alpes,Étangs - Stabilisation à la Chaux - Comment ça marche ?
20,Zenodo, Zone atelier Alpes,Discrepancies between the drivers of alpha and beta plant diversity in arable field margins
21,Zenodo, Zone atelier Alpes,iQonic_D3.1 Functionalities and descriptors overview
22,Zenodo, Zone atelier Alpes,Data from: Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands
23,Zenodo, Zone atelier Alpes,Pression agricole sur les ressources en eau : évolution du risque nitrate dans les bassins de la Meuse et de la Moselle
24,Zenodo, Zone atelier Alpes,"Supplementary material 2 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283"
25,Zenodo, Zone atelier Alpes,"Supplementary material 1 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283"
26,Zenodo, Zone atelier Alpes,"Supplementary material 3 from: Claudel M, Lerigoleur E, Brun C, Guillerme S (2022) Geohistorical dataset of ten plant species introduced into Occitania (France). Biodiversity Data Journal 10: e76283. https://doi.org/10.3897/BDJ.10.e76283"
27,Zenodo, Zone atelier Alpes,Geohistorical dataset of ten plant species introduced into Occitania (France)
28,Zenodo, Zone atelier Alpes,Peritelini Lacordaire 1863
29,Zenodo, Zone atelier Alpes,Encadrants-Doctorants : la faute à qui?
30,Zenodo, Zone atelier Alpes,Data from: Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands
31,Zenodo, Zone atelier Alpes,Data from: Functional biogeography of weeds reveals how anthropogenic management blurs trait-climate relationships
32,Zenodo, Zone atelier Alpes,Projet Démocratie participative - Vie de Scène
33,Zenodo, Zone atelier Alpes,Projet Démocratie Participative : synthèse des 2 saynètes
34,Zenodo, Zone atelier Alpes,Data from: Weed diversity is driven by complex interplay between multi-scale dispersal and local filtering
35,Zenodo, Zone atelier Alpes,La Houle de Stress - Mise en scène
36,Zenodo, Zone atelier Alpes,La Houle de Stress - Synthèse
