,uuid,nb_champs_renseignés
0,FR-130005457-201808290955-1838_Carte_LIVE_Rohrschollen_L1,19.0
1,FR-130005457-201808290955-1828_Carte_LIVE_Rohrschollen_L1,19.0
2,FR-130005457-201808290955-1778_Carte_LIVE_Rohrschollen_L1,19.0
3,FR-130005457-201808290955-1778_OCS_LIVE_Rohrschollen_L1,19.0
4,FR-130005457-201808290955-1828_OCS_LIVE_Rohrschollen_L1,19.0
5,FR-130005457-201808290955-1838_OCS_LIVE_Rohrschollen_L1,19.0
6,FR-130005457-201808290955-1743_ScanHisto_LIVE_Rohrschollen_L1,19.0
7,FR-130005457-201808290955-1778_ScanHisto_LIVE_Rohrschollen_L1,19.0
8,FR-130005457-201808290955-1828_ScanHisto_LIVE_Rohrschollen_L1,19.0
9,FR-130005457-201808290955-1872_ScanHisto_LIVE_Rohrschollen_L1,19.0
10,FR-130005457-201808290955-1838_ScanHisto_LIVE_Rohrschollen_L1,19.0
11,FR-130005457-201808290955-1926_ScanHisto_LIVE_Rohrschollen_L1,19.0
12,FR-130005457-201808290955-1926_Carte_LIVE_Rohrschollen_L1,19.0
13,FR-130005457-201808290955-1872_Carte_LIVE_Rohrschollen_L1,19.0
14,FR-130005457-201808290955-1872_OCS_LIVE_Rohrschollen_L1,19.0
15,FR-130005457-201808290955-1949_Carte_LIVE_Rohrschollen_L1,19.0
16,FR-130005457-201808290955-1949_OCS_LIVE_Rohrschollen_L1,19.0
17,FR-130005457-201808290955-1926_OCS_LIVE_Rohrschollen_L1,19.0
18,FR-130005457-201808290955-2014_OCS_Limites_Etude_LIVE_Rohrschollen_L1,19.0
19,FR-130005457-201808290955-2017_Evolution diachronique_LIVE_Rohrschollen_L1,19.0
20,FR-130005457-201808290955-1949_Orthophoto_LIVE_Rohrschollen_L1,19.0
21,FR-130005457-201808290955-2010_Carte_LIVE_Rohrschollen_L1,19.0
22,FR-130005457-201808290955-2010_OCS_LIVE_Rohrschollen_L1,19.0
23,FR-130005454-201809241150-1964_Orthophoto_LIVE_0m2_EMS_CC48,19.0
24,FR-130005454-201809241230-1978_Orthophoto_LIVE_0m3_EMS_CC48,19.0
25,FR-130005457-201808290955-1743_Carte_LIVE_Rohrschollen_L1,19.0
26,FR-130005457-201808290955-1743_OCS_LIVE_Rohrschollen_L1,19.0
27,12c4141e-2cdd-40a0-bf62-83ef3335f695,25.0
28,40033ae2-ff5c-4dbf-9336-7818fb2850f9,20.0
29,24e1e497-14b1-4940-8407-87bf4824abee,20.0
30,2cd3b222-e61e-40a4-9788-d7997145b198,24.0
31,3e596704-d16b-4a31-9f3b-18fd2f375c05,22.0
32,279949bb-76ec-4765-a1d7-555034aab5fd,18.0
33,20ed0a73-1020-40e6-870d-baf5309c7c71,18.0
34,3fdc6506-dfcd-4b30-918e-b8797ffb223d,18.0
35,0e06a107-36a2-4b77-a6b6-03a815fc85e0,22.0
36,11b081b9-3bf2-451b-aff8-5de355da4018,21.0
37,45807291-a2c1-417b-b189-935eba4719d1,24.0
38,50ce1228-75f6-40da-891f-5c8c28eac897,22.0
39,447cb9ef-6329-40b7-9715-c7fa695a429e,17.0
40,401834c9-ef76-429f-a9d6-3146b66f8417,22.0
41,5a38e56f-46c1-4833-83cf-4968047421b4,17.0
42,4de7b0aa-d67e-4ce5-bd8e-825ba144edc6,18.0
43,5442acb1-6819-4195-9c49-f5771786d81a,18.0
44,493a9c6b-25f8-408a-8c7b-58d29ef4c5aa,17.0
45,532888ef-7aae-4614-ae33-46972b38bb7e,17.0
46,852b0977-adcb-4719-8bfa-364cbb59b3bc,21.0
47,84e7a32a-0ddd-47e8-a382-d65a7c90d5a4,21.0
48,8810aa91-d346-46bf-9301-563dc29117cd,21.0
49,ZAATEMPSOL_35ed9c0b-903a-46d7-a494-684e246d1120,27.0
50,ZAATEMPSOL_6dd55350-dc90-4a60-9303-a6300a8cff8d,27.0
51,7b3e7ddd-641d-4bca-924f-7d12d8c09dac,18.0
52,69eb3786-4100-4ee2-b715-d2058b178537,18.0
53,7b90fbc3-77f0-4e09-8643-025f74f7b17c,18.0
54,8f293516-8215-4ae2-b09c-278047c7446a,18.0
55,a3c269ba-8b6f-46f4-b044-73ce79dd1a79,23.0
56,ZAATEMPSOL_c2cb2c71-b345-48f5-8f74-cc4fc0bbdf5e,27.0
57,ZAATEMPSOL_83279cba-977b-4b2c-a285-13a395bf9e5c,27.0
58,ZAATEMPSOL_de36ee28-5b14-48eb-aff3-f0208fe1e773,27.0
59,ZAATEMPSOL_77b72768-41e8-4f4f-8e83-49a184b77df6,27.0
60,ZAATEMPSOL_d3119b1f-65d1-4164-afa6-39b24204bc91,27.0
61,ZAATEMPSOL_d7399336-ed6f-44f4-97e2-8c92971efd21,25.0
62,aa99b848-f0fe-497f-873c-e875f77735ef,17.0
63,f36291be-7985-41d4-9a00-9983d26aa4bb,20.0
64,ee19974d-36a4-4803-89a5-2637eb6d58d9,25.0
65,c4c7948a-5f11-4da0-b72d-705008c9bf2c,26.0
66,e64e2bfe-b75c-4a53-834e-727b0b8c3e07,20.0
67,c424c00b-72a0-49f6-bb55-9927b27e59e4,18.0
68,aecec5e3-ef87-4b0c-bce6-1519cffaf937,18.0
69,b191d579-5c3a-49ed-860d-381e0186c80d,21.0
70,f1a01969-cb3b-45bf-ab16-5c35ca9fdd58,17.0
71,ead8e65d-d41c-4507-8102-dc6619ac06b6,16.0
72,f5e3f5b8-dcfb-4a95-b409-bc8d9fc724fa,24.0
73,f4204146-a378-442b-b7c9-79cd2ca090f0,21.0
74,f69a83e2-264b-4b18-9e3c-aa204ed3abd6,24.0
75,ZAATEMPSOL_a401f680-65d2-436b-9c00-8e787944881d,27.0
76,fd98468e-5ab3-46a4-9a1a-8682a3a3e236,18.0
77,fd4c8bcb-8131-4dc0-b95b-e052dd5e8323,17.0
78,f6c60c9a-19ca-42dd-849e-b85de91400e7,17.0
79,8bebd265-4630-4ea9-ab9f-6d03ab6537c7,17.0
80,90d6f019-55aa-48a3-ad6c-9f0b570f3a76,17.0
81,448f8ec5-af62-460c-9d68-31b3498b8634,16.0
82,93744504-d937-4726-9e85-9cefaf811a50,16.0
83,3b719c91-782e-43a5-9960-d0d431d92fc8,13.0
84,b6c5129d-7af6-4565-bd5c-a49aebe6d78f,10.0
85,cc67904e-c4aa-4e3c-8a2b-5c1d073c72d0,6.0
86,6b43260a-60ca-49bb-9745-6e75902ba026,24.0
87,09aaa744-e85e-4109-8b08-f12e62d5bd60,16.0
88,2117c545-8a5c-4255-921e-d03e4f317e3a,19.0
89,19249ecd-0c60-41eb-9b38-321ca7440201,38.0
90,fb2b13c0-eb35-4b72-804a-33bd1c1845c3,27.0
91,382f889c-68d4-44dc-8445-0c595681ce87,11.0
92,ca54a629-e7fb-499a-8249-970d3dcc610f,36.0
93,26da1117-79fd-4d29-8ff6-6392bf3f2cb7,27.0
94,1ebb9e93-6c1a-4c13-9ebb-d916c195a1c3,18.0
95,921f02c2-6e21-430d-aa65-2f497601ce5a,17.0
96,28d53b0b-231b-45e0-97bd-3ff48573f23a,27.0
97,99ad12c0-0590-403f-90de-f89aba468918,17.0
98,acb6602e-42f0-4da1-b1b5-86c13bfe227e,24.0
99,bf81fefc-befd-4842-979b-0af9d961bb90,16.0
100,b7cb4c9a-02b7-4526-b286-40430ba5137e,19.0
101,7915f8ed-fb02-4483-9fee-ebf6c3670218,16.0
102,f8778711-cac6-4497-8864-caf9996a79fe,38.0
103,7aac0838-4454-4043-b0b3-0c5941e21042,11.0
104,6028236d-d177-4322-9e32-bc351e983930,36.0
105,f192a721-82f4-4865-8723-3d4558e82d0a,27.0
